type	species	x_m	y_m	ht_m	dbh_cm
Tree	PIPO	126.77	43.05	4.09	7.87
Stump	PIPO	38.48	0.47	4.1	7.14
Stump	PIPO	110.57	55.5	4.1	7.14
Stump	PIPO	38.01	100.36	4.1	7.14
Stump	PIPO	65.1	110	4.1	7.14
Stump	PIPO	130.6	128.71	4.1	7.14
Stump	PIPO	68.77	162.61	4.1	7.14
Stump	PIPO	84.06	170.34	4.1	7.14
Stump	PIPO	113.01	165.29	4.1	7.14
Stump	PIPO	143.2	168.14	4.1	7.14
Stump	PIPO	33.37	125.73	4.1	7.14
Tree	PIPO	173.59	132.85	4.1	11.94
Tree	PIPO	140.75	132.48	4.1	8.13
Tree	PIPO	182.69	159.88	4.13	15.24
Stump	POTR	42.09	142.03	4.13	5.63
Tree	PIPO	129.04	42.07	4.14	9.91
Tree	PIPO	187.34	130.09	4.15	8.38
Tree	PIPO	28.98	126.19	4.17	13.97
Stump	PIPO	126.89	62.93	4.18	7.37
Stump	PIPO	155.3	68.14	4.18	7.37
Stump	PIPO	190.07	142.58	4.18	7.37
Stump	PIPO	53.47	169.86	4.18	7.37
Stump	PIPO	87.61	155.61	4.18	7.37
Stump	PIPO	119.38	156.04	4.18	7.37
Stump	PIPO	33.97	195.05	4.18	7.37
Stump	PIPO	81.37	191.33	4.18	7.37
Stump	PSME	48.71	170.61	4.19	10.12
Stump	PSME	197.15	158.32	4.19	10.12
Tree	PIPO	100.69	66.42	4.2	11.43
Tree	PIPO	71.97	5.64	4.21	11.94
Stump	PIPO	28.11	79.97	4.25	7.59
Stump	PIPO	161.83	145.41	4.25	7.59
Stump	PIPO	88.36	160.51	4.25	7.59
Stump	PIPO	100.74	151.35	4.25	7.59
